competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Jil Meret Schmitz,Thailand,5,,5,1,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Chaniporn Kaechote,Thailand,10,,10,2,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Lisa Reith,Germany,15,,15,3,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Hana Salehi,Iran,20,,20,4,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Sarah Neuheisel,Germany,25,,25,5,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Rania Stamatiadou,Greece,30,,30,6,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Rutuja Hegshetye,India,35,,35,7,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Anna Egorkina,Indonesia,40,,40,8,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Kateryna Spievakova,Ukraine,45,,45,9,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Alisa Nemtinova,Russia,50,,50,10,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Sofia Kriuchkova,Russia,55,,55,11,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Petra Voldanova,Czech Republic,60,,60,12,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Prerana Anchan,India,65,,65,13,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
Andrea Breihof,Germany,70,,70,14,women’s bikini – open,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show
