start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website,eventName,name
25.05.2024,25.05.2024,https://www.ifbbpro.com/competition/2024-optimum-classic-pro/,"{'city': 'Shreveport', 'state': 'LA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Robert Blount,https://www.optimumclassic.com/,2024 Optimum Classic Pro,Optimum Classic Pro
25.05.2024,25.05.2024,https://www.ifbbpro.com/competition/2024-california-state-pro/,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 California State Pro,California State Pro
18.05.2024,18.05.2024,https://www.ifbbpro.com/competition/2023-new-york-pro/,"{'city': 'Teaneck', 'state': 'NJ', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Steve Weinberger,https://www.bevfrancis.com/npcnortheast/,2023 New York Pro,2023 New York Pro
18.05.2024,18.05.2024,https://www.ifbbpro.com/competition/2024-mr-ms-lions-classic-mexico-pro/,"{'city': 'Guadalajara', 'state': '', 'country': 'Mexico'}",IFBB Pro,"[""Women's Wellness""]",Open,Salvador Delgado,,2024 Mr Ms Lions Classic Mexico Pro,Mr Ms Lions Classic Mexico Pro
18.05.2024,18.05.2024,https://www.ifbbpro.com/competition/2024-musclecontest-sao-paulo-pro/,"{'city': 'Sao Paulo', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Sao Paulo Pro,Musclecontest Sao Paulo Pro
12.05.2024,12.05.2024,https://www.ifbbpro.com/competition/2024-kim-junho-classic/,"{'city': 'Seoul', 'state': '', 'country': 'South Korea'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open and Masters,Hyunjoo Won,http://www.musclekim.com,2024 Kim Junho Classic,Kim Junho Classic
12.05.2024,12.05.2024,https://www.ifbbpro.com/competition/2024-spain-california-supplements-pro/,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Wellness""]",Open,Emilio Martinez (CalSup),https://californiasporthouse.com/,2024 Spain California Supplements Pro,Spain California Supplements Pro
11.05.2024,11.05.2024,https://www.ifbbpro.com/competition/2024-kokeny-classic-hungary-pro/,"{'city': 'Budapest', 'state': '', 'country': 'Hungary'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini"", ""Women's Figure""]",Open,Ildiko Buranits (Kokeny Classic),https://www.ifbbproleaguehungary.hu/,2024 Kokeny Classic Hungary Pro,Kokeny Classic Hungary Pro
10.05.2024,11.05.2024,https://www.ifbbpro.com/competition/2024-pittsburgh-pro/,"{'city': 'Pittsburgh', 'state': '', 'country': 'Pennsylvania'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Jim Manion,https://www.npcpittsburgh.com/,2024 Pittsburgh Pro,Pittsburgh Pro
04.05.2024,04.05.2024,https://www.ifbbpro.com/competition/2024-korea-agp-pro/,"{'city': '', 'state': 'Gyeonggi', 'country': 'South Korea'}",IFBB Pro,"[""Women's Bikini""]",Open,,,2024 Korea Agp Pro,Korea Agp Pro
04.05.2024,04.05.2024,https://www.ifbbpro.com/competition/2024-musclecontest-brasilia-pro/,"{'city': 'Brasilia', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Brasilia Pro,Musclecontest Brasilia Pro
28.04.2024,28.04.2024,https://www.ifbbpro.com/competition/2024-korea-agp-pro-3/,"{'city': '', 'state': 'Gyeonggi', 'country': 'South Korea'}",IFBB Pro,"[""Men's Physique""]",Open,,,2024 Korea Agp Pro 3,Korea Agp Pro 3
28.04.2024,28.04.2024,https://www.ifbbpro.com/competition/2024-drogan-physique-dms-pro/,"{'city': 'Changsha', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Sara Lan,https://www.dms-sports.com/en/,2024 Drogan Physique Dms Pro,Drogan Physique Dms Pro
27.04.2024,27.04.2024,https://www.ifbbpro.com/competition/2024-klash-series-grl-pwr-championships/,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Joe Pishkula,https://theklash.com/,2024 Klash Series Grl Pwr Championships,Klash Series Grl Pwr Championships
27.04.2024,27.04.2024,https://www.ifbbpro.com/competition/2024-los-angeles-grand-prix/,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Los Angeles Grand Prix,Los Angeles Grand Prix
27.04.2024,27.04.2024,https://www.ifbbpro.com/competition/2024-st-louis-pro/,"{'city': 'St. Louis', 'state': 'MO', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Physique""]",Open,Jack Titone,http://www.npcmidwest.com,2024 St Louis Pro,St Louis Pro
20.04.2024,20.04.2024,https://www.ifbbpro.com/competition/2024-wasatch-warrior/,"{'city': 'Salt Lake City', 'state': 'UT', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Robyn Maher,https://thewasatchwarrior.com/,2024 Wasatch Warrior,Wasatch Warrior
20.04.2024,20.04.2024,https://www.ifbbpro.com/competition/2024-vancouver-island-showdown/,"{'city': 'Victoria', 'state': '', 'country': 'Canada'}",IFBB Pro,"[""Women's Bodybuilding"", ""Women's Physique"", ""Women's Wellness""]",Open,Corey Swiergosz,http://www.influentialSports.com,2024 Vancouver Island Showdown,Vancouver Island Showdown
14.04.2024,14.04.2024,https://www.ifbbpro.com/competition/2024-detroit-pro/,"{'city': 'Detroit', 'state': 'MI', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding""]",Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro,2024 Detroit Pro,Detroit Pro
13.04.2024,13.04.2024,https://www.ifbbpro.com/competition/2024-musclecontest-nordeste-pro/,"{'city': 'Recife', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Nordeste Pro,Musclecontest Nordeste Pro
13.04.2024,13.04.2024,https://www.ifbbpro.com/competition/2024-musclecontest-fitworld-pro/,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Musclecontest Fitworld Pro,Musclecontest Fitworld Pro
13.04.2024,13.04.2024,https://www.ifbbpro.com/competition/2024-tri-city-classic/,"{'city': 'Columbus GA', 'state': 'GA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Figure""]",Open and Masters,Roland Huff (Tri-City),https://www.bodybe1.com/tricityclassic,2024 Tri City Classic,Tri City Classic
06.04.2024,07.04.2024,https://www.ifbbpro.com/competition/2024-charlotte-pro/,"{'city': 'Charlotte', 'state': 'NC', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Wellness""]",Open and Masters,Johnny Stewart,http://www.johnnystewartproductions.com,2024 Charlotte Pro,Charlotte Pro
06.04.2024,06.04.2024,https://www.ifbbpro.com/competition/2024-triple-o-dynasty/,"{'city': 'Meza', 'state': 'AZ', 'country': 'United States'}",IFBB Pro,"[""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique""]",Open and Masters,"Cydney Gillon, Whitney Jones, Andrea Shaw",https://tripleodynasty.com/,2024 Triple O Dynasty,Triple O Dynasty
06.04.2024,06.04.2024,https://www.ifbbpro.com/competition/1-bro-pro-show/,"{'city': 'Maidenhead', 'state': '', 'country': 'United Kingdom'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,2 Bros Pros,https://www.2bpevents.com/,1 Bro Pro Show,1 Bro Pro Show
05.04.2024,07.04.2024,https://www.ifbbpro.com/competition/2024-arnold-south-america/,"{'city': 'Sao Paulo', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Wheelchair"", ""Women's Wellness""]",Open,Tamer El Guindy (Arnold SA),https://arnold.savagetpromocoes.com.br/,2024 Arnold South America,Arnold South America
04.04.2024,05.04.2024,https://www.ifbbpro.com/competition/2024-tw-pro/,"{'city': 'Kaohsiung', 'state': '', 'country': 'Taiwan'}",IFBB Pro,"[""Women's Bikini""]",Open,John Chen,https://www.ifbbpro.com.tw/,2024 Tw Pro,Tw Pro
30.03.2024,30.03.2024,https://www.ifbbpro.com/competition/2024-houston-tournament-of-champions/,"{'city': 'The Woodlands', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open,John Sherman,https://houstontournamentofchampions.com/,2024 Houston Tournament Of Champions,Houston Tournament Of Champions
30.03.2024,30.03.2024,https://www.ifbbpro.com/competition/2024-san-diego-championships/,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 San Diego Championships,San Diego Championships
30.03.2024,30.03.2024,https://www.ifbbpro.com/competition/2024-klash-series-championships/,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Joe Pishkula,https://theklash.com/,2024 Klash Series Championships,Klash Series Championships
23.03.2024,23.03.2024,https://www.ifbbpro.com/competition/2024-sampson-showdown-pro/,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Patrick Sampson,https://sampsonproductionsllc.com/,2024 Sampson Showdown Pro,Sampson Showdown Pro
16.03.2024,16.03.2024,https://www.ifbbpro.com/competition/2024-musclecontest-campinas-pro/,"{'city': 'Campinas', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Campinas Pro,Musclecontest Campinas Pro
15.03.2024,17.03.2024,https://www.ifbbpro.com/competition/2024-arnold-classic-uk/,"{'city': 'Birmingham', 'state': '', 'country': 'United Kingdom'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Fitness""]",Open,Lloyd Davis (UK),https://arnoldsportsuk.com/,2024 Arnold Classic Uk,Arnold Classic Uk
01.03.2024,03.03.2024,https://www.ifbbpro.com/competition/2024-arnold-classic/,"{'city': 'Columbus', 'state': 'OH', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Fitness"", ""Women's Wellness""]",Open,Lloyd Davis (USA),https://www.arnoldsports.com/,2024 Arnold Classic,Arnold Classic
01.03.2024,01.03.2024,https://www.ifbbpro.com/competition/2024-china-pro/,"{'city': 'Shanghai', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Sara Lan,https://www.dms-sports.com/en/,2024 China Pro,China Pro
11.02.2024,11.02.2024,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,"{'city': 'Kawasaki', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/,2024 Musclecontest Japan Pro,Musclecontest Japan Pro
