url,start_date,end_date,location,comp_type,divisions,division_type,promoter,promoter_website,year,eventName,name,name_key
https://www.ifbbpro.com/competition/2025-omaha-pro/,07.06.2025,07.06.2025,"{'city': 'Omaha', 'state': 'NE', 'country': 'United States'}",IFBB Pro,"[""Women's Physique""]",Open,Jack Titone,http://www.npcmidwest.com,2025,2025_omaha_pro,omaha_pro,omaha_pro
https://www.ifbbpro.com/competition/2025-optimum-classic-championships/,24.05.2025,24.05.2025,"{'city': 'Shreveport', 'state': 'LA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Robert Blount,https://www.optimumclassic.com/,2025,2025_optimum_classic_championships,optimum_classic_championships,optimum_classic_pro
https://www.ifbbpro.com/competition/2025-pennsylvania-muscle-pro/,09.08.2025,09.08.2025,"{'city': 'Lancaster', 'state': 'PA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Gary Udit,https://www.garyudit.com/,2025,2025_pennsylvania_muscle_pro,pennsylvania_muscle_pro,pennsylvania_muscle
https://www.ifbbpro.com/competition/2025-pittsburgh-power-fitness-festival/,10.05.2025,11.05.2025,"{'city': 'Pittsburgh', 'state': '', 'country': 'Pennsylvania'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Jim Manion,https://www.npcpittsburgh.com/,2025,2025_pittsburgh_power_fitness_festival,pittsburgh_power_fitness_festival,pittsburgh_pro
https://www.ifbbpro.com/competition/2025-promuscle-italy-pro/,07.09.2025,07.09.2025,"{'city': 'None', 'state': '', 'country': 'None'}",IFBB Pro,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Wellness""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/,2025,2025_promuscle_italy_pro,promuscle_italy_pro,promuscle_italy_pro
https://www.ifbbpro.com/competition/2025-republic-of-texas-pro/,12.07.2025,12.07.2025,"{'city': 'Austin', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open and Masters,Helio Chapuseaux & Bernadette Galvan,https://galvanizedproductions.com/,2025,2025_republic_of_texas_pro,republic_of_texas_pro,republic_of_texas_pro
https://www.ifbbpro.com/competition/2025-sampson-showdown/,29.03.2025,29.03.2025,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Patrick Sampson,https://sampsonproductionsllc.com/,2025,2025_sampson_showdown,sampson_showdown,sampson_showdown
https://www.ifbbpro.com/competition/2025-san-diego-championships/,08.03.2025,08.03.2025,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy,https://musclecontest.com/,2025,2025_san_diego_championships,san_diego_championships,san_diego_championships
https://www.ifbbpro.com/competition/2025-sasquatch-pro/,20.09.2025,20.09.2025,"{'city': 'Federal Way', 'state': '', 'country': 'Washington'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Michele Mayberry & Christopher Algeo,https://sasquatchproam.com/,2025,2025_sasquatch_pro,sasquatch_pro,sasquatch_pro
https://www.ifbbpro.com/competition/2025-south-florida-pro/,21.06.2025,21.06.2025,"{'city': 'Boca Raton', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding""]",Open and Masters,John Hnatyschak,https://chzldclassic.com/,2025,2025_south_florida_pro,south_florida_pro,south_florida_pro
